Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,polio(deaths/1000),Total expenditure,Diphtheria (deaths/1000), HIV/AIDS(impact),GDP,Population, thinness  10-19 years, thinness 5-9 years,Income composition of resources,Schooling,COVID ,Life expectancy ,,,,
United States of America,2011,Developed,16,25,8.67,5439.69,91.00,220,67.50,29,94,17.60,96.00,0.1,49887.00,327096272,0.70,0.60,0.87,16.30,1.00,78.64,,,,
United States of America,2010,Developed,15,25,8.55,5219.67,92.00,63,66.90,30,93,17.20,95.00,0.1,48468.00,327096273,0.70,0.60,0.86,16.30,1.00,78.49,,,,
United States of America,2009,Developed,18,26,8.71,5243.32,92.00,71,66.30,31,93,17.00,95.00,0.1,47100.00,327096274,0.70,0.60,0.86,16.40,1.00,78.34,,,,
United States of America,2008,Developed,18,27,8.74,5166.38,94.00,140,65.70,31,94,16.20,96.00,0.1,48383.00,327096275,0.70,0.60,0.85,16.30,2.00,78.19,,,,
United States of America,2007,Developed,11,27,8.74,5228.82,93.00,43,65.10,32,93,15.57,96.00,0.1,47976.00,327096276,0.70,0.60,0.83,15.60,1.00,77.99,,,,
United States of America,2006,Developed,113,28,8.63,4713.19,93.00,55,64.40,33,93,15.27,96.00,0.1,46299.00,327096277,0.70,0.60,0.83,15.50,2.00,77.79,,,,
United States of America,2005,Developed,112,28,8.52,4506.26,93.00,66,63.80,33,92,15.15,96.00,0.1,44115.00,327096278,0.70,0.60,0.83,15.30,1.00,77.58,,,,
United States of America,2004,Developed,111,28,8.48,4270.91,92.00,37,63.10,33,92,15.14,96.00,0.1,41713.00,327096279,0.70,0.60,0.81,15.20,2.00,77.38,,,,
United States of America,2003,Developed,114,28,8.40,3519.26,92.00,56,62.40,33,91,15.60,96.00,0.1,39446.00,327096280,0.70,0.60,0.79,15.00,1.00,77.18,,,,
United States of America,2002,Developed,115,28,8.33,2883.33,88.00,41,61.70,33,90,14.55,94.00,0.1,38023.00,327096281,0.80,0.60,0.79,14.80,2.00,77.04,,,,
United States of America,2001,Developed,115,28,8.25,2013.12,89.00,116,60.90,33,89,13.73,94.00,0.1,37133.00,327096282,0.80,0.60,0.78,14.90,1.00,76.90,,,,
United States of America,2000,Developed,114,28,8.21,1931.51,90.00,85,60.01,33,90,13.70,94.00,0.1,36335.00,327096283,0.80,0.70,0.77,14.70,1.00,76.75,,,,
Brazil,2021,Developing,171,38,7.20,1045.50,98.00,142,55.00,38,87,8.21,90.50,0.1,7421.03,253245161,2.60,2.20,0.77,15.15,225.12,73.41,,,,
Brazil,2020,Developing,167,40,7.18,952.34,95.00,156,54.10,39,91,8.95,92.00,0.1,7652.10,256213452,2.50,2.40,0.79,15.25,210.21,73.21,,,,
Brazil,2019,Developing,147,38,7.15,99.35,93.00,130,55.10,38,87,7.87,90.50,0.1,8337.26,259627904,2.30,2.20,0.80,15.80,1.00,75.76,,,,
Brazil,2018,Developing,145,40,7.20,916.27,97.00,102,55.20,39,91,7.96,92.00,0.1,8442.26,259626381,2.40,2.30,0.79,15.65,2.00,75.56,,,,
Brazil,2017,Developing,143,42,7.31,843.19,94.00,195,55.60,42,93,8.05,93.50,0.1,8547.26,259624858,2.50,2.40,0.78,15.50,1.00,75.32,,,,
Brazil,2016,Developing,144,41,7.42,1085.00,95.00,210,55.30,46,94,8.14,95.00,0.1,8652.26,259623335,2.60,2.50,0.77,15.35,1.00,75.07,,,,
Brazil,2015,Developing,142,42,7.35,1324.20,96.00,214,56.10,47,98,8.23,96.00,0.1,8757.26,259621812,2.70,2.60,0.75,15.20,1.00,74.83,,,,
Brazil,2014,Developing,144,44,7.32,83.16,96.00,876,55.30,49,96,8.32,93.00,0.1,1226.62,242131333,2.70,2.70,0.75,15.20,1.00,74.58,,,,
Brazil,2013,Developing,146,46,7.24,916.27,96.00,220,54.50,52,96,8.48,97.00,0.1,12216.94,224863254,2.80,2.70,0.73,14.20,1.00,74.34,,,,
Brazil,2012,Developing,148,49,7.55,843.19,96.00,2,53.60,54,96,8.26,95.00,0.1,12291.47,216983412,2.80,2.80,0.73,14.20,1.00,74.03,,,,
Brazil,2011,Developing,152,51,7.58,1085.00,98.00,43,52.80,57,98,8.90,99.00,0.1,13167.47,198686688,2.90,2.80,0.72,14.00,2.00,73.72,,,,
Brazil,2010,Developing,154,54,7.52,1111.19,96.00,68,52.00,61,99,8.27,99.00,0.1,11224.15,196796269,2.90,2.90,0.72,13.80,1.00,73.42,,,,
Brazil,2009,Developing,157,57,7.33,564.52,99.00,0,51.10,64,99,8.65,99.00,0.1,8553.38,194895996,3.00,2.90,0.71,13.80,1.00,73.11,,,,
Brazil,2008,Developing,158,61,7.21,526.38,96.00,0,5.30,68,99,8.24,99.00,0.1,8787.61,192979293,3.00,3.00,0.70,13.30,2.00,72.80,,,,
Brazil,2007,Developing,159,65,7.19,394.93,99.00,0,49.40,73,99,8.28,99.00,0.1,7313.56,191266375,3.10,3.00,0.70,13.50,1.00,72.43,,,,
Brazil,2006,Developing,161,70,7.10,30.30,99.00,57,48.60,79,99,8.36,99.00,0.1,586.15,189124123,3.10,3.10,0.70,13.80,1.00,72.06,,,,
Brazil,2005,Developing,163,75,6.97,23.76,98.00,6,47.80,85,99,8.27,99.00,0.1,477.18,186917361,3.20,3.10,0.69,13.80,2.00,71.70,,,,
Brazil,2004,Developing,17,81,6.85,186.61,96.00,0,46.90,93,99,7.70,99.00,0.1,3623.48,184738458,3.20,3.20,0.70,14.00,1.00,71.33,,,,
Brazil,2003,Developing,172,88,6.95,15.86,97.00,2,46.10,100,99,6.94,99.00,0.1,359.59,182482149,3.30,3.30,0.70,14.80,2.00,70.96,,,,
Brazil,2002,Developing,176,95,7.00,140.98,92.00,1,45.30,109,99,7.13,99.00,0.1,2819.65,181512166,3.30,3.30,0.69,14.60,1.00,70.62,,,,
Brazil,2001,Developing,179,103,7.13,149.48,91.00,1,44.50,118,99,7.19,98.00,0.1,3146.95,177756742,3.40,3.40,0.69,14.30,2.00,70.28,,,,
Brazil,2000,Developing,183,111,7.26,179.48,94.00,36,43.70,127,99,7.30,98.00,0.1,3739.12,175287587,3.40,3.40,0.68,14.10,1.00,69.93,,,,
india,2021,Developing,203,8321,2.90,96.01,72.00,49512,19.30,710,79.8,7.31,79.00,0.21,1945.20,1366417754,26.20,27.30,0.63,11.60,22.32,69.40,,,,
india,2020,Developing,198,835,3.02,88.21,73.00,51234,19.50,730,80.5,6.32,81.00,0.22,1891.23,1365265428,26.20,27.20,0.65,11.80,18.32,69.10,,,,
india,2019,Developing,173,841,2.97,72.36,74.00,61203,21.10,700,80,5.39,79.00,0.18,2148.19,1366417754,26.30,26.90,0.68,12.00,1.00,69.50,,,,
india,2018,Developing,175,847,3.09,78.39,76.00,621344,20.50,800,81.5,5.25,81.00,0.2,2048.19,1365265428,26.40,27.00,0.66,11.90,1.00,69.27,,,,
india,2017,Developing,177,868,3.21,83.43,78.00,65239,19.90,900,83,5.11,83.00,0.2,1903.19,1336542801,26.50,27.10,0.65,11.80,1.00,68.97,,,,
india,2016,Developing,179,889,3.33,84.46,85.00,85032,19.30,1000,84.5,4.97,85.00,0.2,1758.19,1324517497,26.60,27.20,0.63,11.70,1.00,68.67,,,,
India,2015,Developing,181,910,2.95,85.49,87.00,90387,18.70,1100,86,4.83,87.00,0.2,1613.19,1311095398,26.70,27.30,0.62,11.60,1.00,68.37,,,,
India,2014,Developing,184,957,3.07,86.52,79.00,79563,18.10,1200,84,4.69,85.00,0.2,1573.12,1293859294,26.80,27.40,0.61,11.60,1.00,68.07,,,,
India,2013,Developing,187,1000,3.11,67.67,74.00,13822,17.50,1300,82,4.53,83.00,0.2,1452.20,1278562272,26.80,27.50,0.60,11.50,1.00,67.77,,,,
India,2012,Developing,19,1100,3.10,64.97,73.00,18668,17.00,1400,79,4.39,82.00,0.2,1446.99,1263658523,26.90,27.60,0.59,11.30,2.00,67.32,,,,
India,2011,Developing,193,1100,3.00,64.61,44.00,33634,16.40,1500,79,4.33,82.00,0.2,1461.67,1247236295,26.90,27.70,0.58,10.80,1.00,66.87,,,,
India,2010,Developing,196,1200,2.77,57.73,38.00,31458,15.90,1600,76,4.28,79.00,0.2,1345.77,1239869145,27.00,27.80,0.57,10.40,2.00,66.43,,,,
India,2009,Developing,2,1300,2.50,0.84,37.00,56188,15.40,1700,73,4.38,74.00,0.2,1109.32,1214271321,27.00,27.80,0.56,10.50,2.00,65.98,,,,
India,2008,Developing,23,1300,1.93,43.03,29.00,44258,14.90,1800,69,4.34,7.00,0.3,991.48,1197146963,27.00,27.90,0.56,10.20,1.00,65.50,,,,
India,2007,Developing,26,1400,1.59,5.23,31.50,41144,14.40,1900,67,4.23,64.00,0.3,1018.17,1179681239,27.10,28.00,0.55,9.90,2.00,65.20,,,,
India,2006,Developing,28,1500,1.37,34.86,30.50,64185,13.90,2000,66,4.25,65.00,0.3,792.26,1161977719,27.10,28.00,0.54,9.70,1.00,64.80,,,,
India,2005,Developing,211,1500,1.27,3.51,34.50,36711,13.50,2000,65,4.28,65.00,0.3,715.23,1144118674,27.20,28.10,0.53,9.40,2.00,64.40,,,,
India,2004,Developing,214,1600,1.20,27.34,33.50,55443,13.00,2100,58,4.22,63.00,0.3,621.32,1126135777,27.20,28.20,0.52,9.20,1.00,63.31,,,,
India,2003,Developing,216,1700,1.19,19.48,35.20,47147,12.60,2200,57,4.30,61.00,0.3,541.14,1111827848,27.30,28.30,0.51,8.60,2.00,63.70,,,,
India,2002,Developing,219,1700,1.10,17.81,29.50,40044,12.20,2300,58,4.40,59.00,0.3,466.28,1089871121,27.40,28.40,0.50,8.40,1.00,63.30,,,,
India,2001,Developing,222,1800,1.00,19.00,25.30,51780,11.80,2400,58,4.50,59.00,0.3,447.14,1071477855,27.50,28.50,0.49,8.30,2.00,62.90,,,,
India,2000,Developing,224,1800,0.93,19.27,21.00,38835,11.40,2500,57,4.26,58.00,0.3,438.86,1056575549,27.70,28.60,0.49,8.30,1.00,62.50,,,,
France,2021,Developing,85,2,10.75,7025.20,94.00,195,62.30,2.5,97,13.50,97.00,0.1,37541.00,65161825,0.59,0.59,0.89,16.30,162.40,81.60,,,,
France,2020,Developing,80,1.8,10.70,6890.50,93.00,201,61.50,2.8,96,12.50,98.00,0.1,38452.00,65193970,0.58,0.58,0.91,16.50,158.20,82.10,,,,
France,2019,Developing,74,1.8,10.75,6793.68,94.00,110,60.90,2.8,96,11.14,97.00,0.1,40494.00,65283511,0.56,0.56,0.92,16.70,1.00,82.59,,,,
France,2018,Developing,75,2,10.90,6737.68,92.00,126,61.30,3,96,11.22,98.00,0.1,41631.00,65273511,0.55,0.55,0.91,16.60,2.00,82.46,,,,
France,2017,Developing,76,2,11.05,6794.68,90.00,135,61.70,3,97,11.30,98.00,0.1,38812.00,65129728,0.60,0.60,0.90,16.50,1.00,82.36,,,,
France,2016,Developing,77,2,11.20,6738.68,88.00,168,62.10,3,97,11.38,98.00,0.1,37037.00,64842509,0.60,0.60,0.89,16.40,1.00,82.25,,,,
France,2015,Developing,78,2,11.35,6795.68,86.00,157,62.50,3,98,11.46,98.00,0.1,36526.77,64667596,0.70,0.60,0.89,16.30,1.00,82.15,,,,
France,2014,Developing,79,3,11.50,6739.68,83.00,267,62.00,3,98,11.54,98.00,0.1,42955.24,64458123,0.60,0.60,0.89,16.20,1.00,82.04,,,,
France,2013,Developing,81,3,11.10,6646.95,74.00,272,61.60,3,99,11.56,99.00,0.1,42554.12,63599857,0.60,0.60,0.89,16.20,2.00,81.94,,,,
France,2012,Developing,83,3,11.50,751.38,78.00,0,61.10,3,99,11.44,99.00,0.1,48382.44,63546512,0.60,0.60,0.89,16.10,1.00,81.74,,,,
France,2011,Developing,83,3,11.80,683.92,74.00,14949,6.60,3,99,11.33,99.00,0.1,43812.88,65342776,0.60,0.60,0.88,16.10,2.00,81.54,,,,
France,2010,Developing,86,3,11.70,72.80,65.00,5048,6.10,3,99,11.20,99.00,0.1,47334.28,65275121,0.60,0.60,0.88,16.00,2.00,81.35,,,,
France,2009,Developing,88,3,11.80,6415.36,51.00,1541,59.60,3,98,11.28,98.00,0.1,41631.13,64774441,0.60,0.60,0.88,16.00,1.00,81.15,,,,
France,2008,Developing,88,3,11.90,7002.79,47.00,604,59.10,3,98,1.57,98.00,0.1,45413.66,64374993,0.60,0.60,0.88,16.10,2.00,80.95,,,,
France,2007,Developing,89,3,12.20,64.74,42.00,39,58.60,3,99,1.45,98.00,0.1,41658.40,64162291,0.60,0.60,0.87,16.10,1.00,80.68,,,,
France,2006,Developing,92,3,12.40,5689.99,39.00,40,58.00,4,99,1.53,99.00,0.1,36544.59,63621376,0.60,0.60,0.87,16.10,2.00,80.41,,,,
France,2005,Developing,93,3,12.20,5451.70,35.00,36,57.50,4,98,1.60,98.00,0.1,34879.73,63179356,0.60,0.60,0.86,15.50,1.00,80.14,,,,
France,2004,Developing,94,3,13.18,5291.23,35.00,4448,57.00,4,99,1.53,98.00,0.1,33874.74,62574897,0.60,0.60,0.86,15.50,2.00,79.87,,,,
France,2003,Developing,99,3,13.49,4572.44,28.00,0,56.40,4,96,1.43,97.00,0.1,29691.18,62244884,0.60,0.60,0.85,15.40,1.00,79.60,,,,
France,2002,Developing,11,3,13.78,3779.66,29.00,5185,55.80,4,97,1.22,97.00,0.1,24275.24,61852671,0.70,0.60,0.85,15.50,2.00,79.37,,,,
France,2001,Developing,13,3,13.89,3451.19,28.00,0,55.20,4,98,9.89,97.00,0.1,22527.32,60357431,0.70,0.60,0.85,15.60,1.00,79.14,,,,
France,2000,Developing,13,3,13.63,3410.28,26.00,10000,54.60,4,98,9.77,97.00,0.1,22465.64,59912498,0.70,0.60,0.84,15.70,2.00,78.91,,,,
Turkey,2021,Developing,136,17,1.05,210.50,97.00,306,67.30,12,96,9.50,97.00,0.1,8856.00,83051849,4.60,4.50,0.73,14.70,53.10,76.90,,,,
Turkey,2020,Developing,125,15,0.95,195.60,97.00,302,67.50,11,95,8.02,97.00,0.1,8925.00,83083094,4.60,4.60,0.74,14.80,42.50,77.25,,,,
Turkey,2019,Developing,100,11,0.90,181.91,97.00,282,67.70,11,95,6.01,97.00,0.1,9127.00,83249615,4.70,4.50,0.74,14.90,0.00,77.54,,,,
Turkey,2018,Developing,103,12,1.01,188.14,96.00,297,67.30,12,97,5.89,95.00,0.1,9456.00,82340088,4.80,4.60,0.75,14.80,1.00,77.31,,,,
Turkey,2017,Developing,106,13,1.12,234.20,97.00,312,66.90,14,96,5.77,96.00,0.1,10591.00,81116542,4.80,4.70,0.75,14.70,1.00,76.97,,,,
Turkey,2016,Developing,109,14,1.23,1275.88,96.00,327,66.50,16,97,5.65,97.00,0.1,10895.00,79827871,4.80,4.70,0.76,14.60,1.00,76.62,,,,
Turkey,2015,Developing,112,15,1.34,32.78,97.00,342,66.10,18,97,5.53,97.00,0.1,11979.53,78271472,4.90,4.80,0.76,14.50,1.00,76.28,,,,
Turkey,2014,Developing,107,16,1.45,106.95,96.00,565,65.30,19,96,5.41,96.00,0.1,12127.23,77362872,4.90,4.70,0.76,14.50,1.00,75.93,,,,
Turkey,2013,Developing,110,17,1.41,188.14,97.00,7405,64.50,20,98,5.38,98.00,0.1,12542.94,75787333,4.90,4.70,0.75,14.40,2.00,75.59,,,,
Turkey,2012,Developing,112,19,1.54,20.75,97.00,349,63.70,22,97,5.24,97.00,0.1,11723.84,74569867,4.90,4.70,0.75,14.30,1.00,75.15,,,,
Turkey,2011,Developing,114,20,1.53,1275.88,96.00,111,62.80,23,97,5.29,97.00,0.1,11341.13,73494553,4.90,4.70,0.74,13.80,2.00,74.70,,,,
Turkey,2010,Developing,116,21,1.49,32.78,96.00,7,61.90,25,97,5.61,97.00,0.1,11672.57,72326914,4.90,4.70,0.72,13.00,1.00,74.26,,,,
Turkey,2009,Developing,118,23,1.40,106.95,94.00,4,61.10,27,96,6.80,96.00,0.1,9365.00,71339185,4.90,4.80,0.71,12.50,2.00,73.81,,,,
Turkey,2008,Developing,121,25,1.39,22.67,92.00,0,6.20,29,96,6.70,96.00,0.1,10856.90,70744321,5.00,4.80,0.71,12.50,1.00,73.37,,,,
Turkey,2007,Developing,124,26,1.26,115.58,96.00,3,59.30,31,96,6.40,96.00,0.1,9749.25,69597281,5.00,4.80,0.70,12.30,1.00,72.97,,,,
Turkey,2006,Developing,126,28,1.29,103.52,82.00,34,58.50,34,9,5.81,89.00,0.1,8348.69,68763453,5.00,4.80,0.69,11.90,1.00,72.57,,,,
Turkey,2005,Developing,129,30,1.29,832.96,85.00,6200,57.60,36,9,5.45,89.00,0.1,7384.35,67934652,5.00,4.90,0.68,11.90,1.00,72.17,,,,
Turkey,2004,Developing,132,33,1.35,1.13,77.00,8927,56.80,39,85,5.37,85.00,0.1,6472.95,67785541,5.10,4.90,0.68,12.00,1.00,71.77,,,,
Turkey,2003,Developing,135,35,1.42,459.11,68.00,5844,55.90,43,69,5.34,68.00,0.1,4718.51,66858332,5.10,5.00,0.67,11.90,1.00,71.37,,,,
Turkey,2002,Developing,138,38,1.47,35.56,72.00,7823,55.10,46,78,5.36,78.00,0.1,3665.57,65143545,5.20,5.00,0.66,11.50,1.00,70.79,,,,
Turkey,2001,Developing,14,41,1.49,256.43,77.00,30509,54.30,50,88,5.16,88.00,0.1,3119.64,64191474,5.20,5.10,0.65,11.10,1.00,70.22,,,,
Turkey,2000,Developing,143,44,1.54,421.30,71.00,16244,53.50,54,85,4.95,85.00,0.1,4316.55,63241211,5.30,5.20,0.64,10.70,1.00,69.64,,,,
Russian Federation,2021,Developing,225,14,8.40,1655.30,97.00,1523,62.40,14,94,8.50,97.00,0.1,10856.50,144953791,2.00,2.00,0.79,14.20,78.40,71.05,,,,
Russian Federation,2020,Developing,220,12,8.42,1640.50,96.00,213,62.70,13,95,8.30,96.00,0.1,11213.20,145168364,2.10,2.00,0.79,14.30,60.50,71.20,,,,
Russian Federation,2019,Developing,210,11,8.07,1548.30,96.00,1023,62.90,13,95,8.10,96.00,0.1,11558.50,145381821,2.10,2.10,0.79,14.40,2.00,73.08,,,,
Russian Federation,2018,Developing,213,12,8.48,1441.30,96.00,875,62.30,14,96,8.00,96.00,0.1,11023.50,145278557,2.10,2.20,0.80,14.40,1.00,72.66,,,,
Russian Federation,2017,Developing,216,12,8.89,1334.30,97.00,965,61.70,14,96,8.00,96.00,0.2,10465.25,145175293,2.20,2.20,0.80,14.50,0.00,72.45,,,,
Russian Federation,2016,Developing,219,12,9.30,1227.30,97.00,1234,61.10,15,97,7.90,96.00,0.1,10234.25,145072029,2.20,2.20,0.80,14.80,0.00,71.65,,,,
Russian Federation,2015,Developing,222,13,9.71,1120.30,97.00,843,60.50,15,97,7.80,97.00,0.1,9329.30,144968765,2.30,2.30,0.81,15.00,1.00,71.21,,,,
Russian Federation,2014,Developing,225,13,10.12,1340.55,97.00,4711,59.90,15,97,7.70,97.00,0.1,14125.96,143819661,2.30,2.30,0.80,14.90,2.00,71.18,,,,
Russian Federation,2013,Developing,229,14,10.58,1529.50,97.00,2339,59.30,16,98,7.90,97.00,0.2,15543.68,143569117,2.30,2.30,0.80,14.60,1.00,70.00,,,,
Russian Federation,2012,Developing,237,14,10.99,178.82,97.00,2123,58.70,16,98,6.88,97.00,0.3,15154.46,143216763,2.30,2.40,0.79,14.30,1.00,69.60,,,,
Russian Federation,2011,Developing,242,14,11.04,184.76,97.00,629,58.10,17,97,6.61,97.00,0.3,14212.69,142968684,2.30,2.40,0.79,14.00,0.00,69.40,,,,
Russian Federation,2010,Developing,256,15,11.05,162.81,97.00,129,57.50,17,98,6.83,97.00,0.2,1674.99,142849443,2.30,2.50,0.77,13.70,2.00,68.40,,,,
Russian Federation,2009,Developing,261,15,11.21,137.01,98.00,101,57.00,18,98,7.44,98.00,0.3,8562.90,142785344,2.30,2.50,0.78,14.00,1.00,68.20,,,,
Russian Federation,2008,Developing,278,16,12.04,161.73,98.00,27,56.60,18,98,6.22,98.00,0.3,11635.26,142742355,2.30,2.50,0.77,13.90,1.00,67.50,,,,
Russian Federation,2007,Developing,282,16,12.19,11.03,98.00,173,56.10,19,98,5.38,98.00,0.3,911.25,142858813,2.40,2.60,0.76,13.80,1.00,67.30,,,,
Russian Federation,2006,Developing,3,17,11.79,12.25,98.00,1147,55.70,20,98,5.30,98.00,0.3,692.19,143495285,2.40,2.70,0.75,13.80,0.00,66.40,,,,
Russian Federation,2005,Developing,327,18,11.57,625.51,97.00,454,55.30,20,98,5.21,98.00,0.3,5323.47,143518523,2.40,2.70,0.75,13.70,1.00,65.00,,,,
Russian Federation,2004,Developing,321,19,11.50,46.52,96.00,2444,55.00,21,98,5.19,97.00,0.3,412.37,144675421,2.50,2.80,0.74,13.60,1.00,64.90,,,,
Russian Federation,2003,Developing,322,20,11.32,333.21,94.00,3291,54.70,22,97,5.61,96.00,0.4,2975.13,144648257,2.60,2.80,0.73,13.20,0.00,64.60,,,,
Russian Federation,2002,Developing,313,20,10.87,266.54,81.00,580,54.50,24,97,5.99,97.00,0.3,2375.59,145364612,2.70,2.90,0.73,12.80,0.00,64.80,,,,
Russian Federation,2001,Developing,38,21,10.47,2.64,80.00,2072,54.20,25,97,5.67,96.00,0.3,21.36,145976831,2.80,3.00,0.72,12.50,0.00,65.10,,,,
Russian Federation,2000,Developing,37,22,10.18,224.46,78.00,4800,54.00,26,97,5.42,96.00,0.2,1771.59,146596557,2.90,3.00,0.71,12.00,1.00,65.00,,,,
United Kingdom of Great Britain and Northern Ireland,2021,Developed,78,3,9.72,5241.30,96.00,98,70.20,3,96,9.60,96.00,0.1,41952.00,67391977,0.85,0.50,0.91,16.40,192.40,79.60,,,,
United Kingdom of Great Britain and Northern Ireland,2020,Developed,75,2,9.75,5210.20,96.00,102,69.80,3,97,9.50,96.00,0.1,42013.00,67402190,0.90,0.60,0.92,16.60,162.30,80.20,,,,
United Kingdom of Great Britain and Northern Ireland,2019,Developed,66,2,9.74,5123.20,96.00,95,69.50,3,97,9.10,96.00,0.1,42330.00,67530172,0.90,0.60,0.93,16.70,1.00,81.27,,,,
United Kingdom of Great Britain and Northern Ireland,2018,Developed,67,2,9.97,5323.64,97.00,86,69.00,3,97,9.24,97.00,0.1,43043.00,67141684,0.85,0.60,0.93,16.60,2.00,81.15,,,,
United Kingdom of Great Britain and Northern Ireland,2017,Developed,68,2,10.20,5200.64,97.00,132,68.20,4,96,9.21,96.00,0.1,40361.00,66727461,0.85,0.60,0.93,16.50,1.00,81.09,,,,
United Kingdom of Great Britain and Northern Ireland,2016,Developed,68,3,10.43,5077.64,97.00,100,67.40,3,97,9.18,96.00,0.1,41064.00,66297944,0.80,0.60,0.92,16.40,0.00,81.04,,,,
United Kingdom of Great Britain and Northern Ireland,2015,Developed,69,3,10.66,4954.64,97.00,191,66.60,4,96,9.15,96.00,0.1,44975.00,65860146,0.80,0.60,0.91,16.30,1.00,80.98,,,,
United Kingdom of Great Britain and Northern Ireland,2014,Developed,71,3,10.37,4831.64,97.00,133,66.00,4,95,9.12,95.00,0.1,47426.00,65423047,0.80,0.50,0.89,16.20,0.00,80.93,,,,
United Kingdom of Great Britain and Northern Ireland,2013,Developed,72,3,10.32,483.19,97.00,1919,65.40,4,95,9.34,95.00,0.1,43445.00,64984018,0.80,0.50,0.87,16.20,1.00,80.87,,,,
United Kingdom of Great Britain and Northern Ireland,2012,Developed,72,3,10.42,4793.90,97.00,2092,64.80,4,95,9.41,95.00,0.1,42463.00,64525312,0.80,0.50,0.87,16.10,1.00,80.63,,,,
United Kingdom of Great Britain and Northern Ireland,2011,Developed,74,3,10.68,5439.69,97.00,1112,64.20,4,95,9.34,95.00,0.1,42039.00,64021919,0.80,0.50,0.86,16.10,0.00,80.40,,,,
United Kingdom of Great Britain and Northern Ireland,2010,Developed,77,3,10.88,5219.67,98.00,443,63.60,4,94,9.51,94.00,0.1,39436.00,63459808,0.80,0.50,0.85,16.00,1.00,80.16,,,,
United Kingdom of Great Britain and Northern Ireland,2009,Developed,78,4,10.79,5243.32,98.00,1212,63.10,4,93,9.81,93.00,0.1,38713.00,62828616,0.80,0.50,0.85,16.00,0.00,79.93,,,,
United Kingdom of Great Britain and Northern Ireland,2008,Developed,80,4,11.47,66.38,98.00,1445,62.50,4,92,8.85,92.00,0.1,47287.00,62145097,0.80,0.50,0.84,16.10,2.00,79.69,,,,
United Kingdom of Great Britain and Northern Ireland,2007,Developed,81,4,11.84,5228.82,98.00,1022,61.90,4,92,8.42,92.00,0.1,50567.00,61455162,0.70,0.50,0.84,16.10,2.00,79.43,,,,
United Kingdom of Great Britain and Northern Ireland,2006,Developed,82,4,11.61,473.19,97.00,764,61.30,4,92,8.36,92.00,0.1,44600.00,60821356,0.70,0.50,0.84,16.10,1.00,79.18,,,,
United Kingdom of Great Britain and Northern Ireland,2005,Developed,82,4,12.05,4506.26,96.00,79,6.70,4,91,8.24,91.00,0.1,42030.00,60287954,0.70,0.50,0.83,15.50,1.00,78.92,,,,
United Kingdom of Great Britain and Northern Ireland,2004,Developed,83,4,12.22,4270.91,94.00,189,6.10,4,92,7.98,92.00,0.1,40290.00,59872753,0.70,0.50,0.82,15.50,0.00,78.67,,,,
United Kingdom of Great Britain and Northern Ireland,2003,Developed,86,4,11.85,3519.26,81.00,460,59.50,4,91,7.81,91.00,0.1,34419.00,59561432,0.70,0.50,0.82,15.40,3.00,78.41,,,,
United Kingdom of Great Britain and Northern Ireland,2002,Developed,87,4,11.44,2883.33,80.00,314,58.80,4,91,7.57,91.00,0.1,30057.00,59326294,0.70,0.50,0.81,15.50,1.00,78.16,,,,
